Linux 6.14.8-200.fc41.x86_64 (fedora) 	02.12.2025 	_x86_64_	(12 CPU)

19:40:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:40:13     all   57,37    0,00    1,76    0,17    0,50    0,08    0,00    0,00    0,00   40,12
19:40:13       0   45,92    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   53,06
19:40:13       1   54,46    0,00    0,99    0,00    0,99    0,00    0,00    0,00    0,00   43,56
19:40:13       2   55,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   44,90
19:40:13       3   58,59    0,00    1,01    0,00    1,01    0,00    0,00    0,00    0,00   39,39
19:40:13       4   61,39    0,00    2,97    0,00    0,00    0,99    0,00    0,00    0,00   34,65
19:40:13       5   55,10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   44,90
19:40:13       6   67,00    0,00   11,00    0,00    1,00    0,00    0,00    0,00    0,00   21,00
19:40:13       7   57,58    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   42,42
19:40:13       8   57,58    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   41,41
19:40:13       9   58,59    0,00    1,01    2,02    1,01    0,00    0,00    0,00    0,00   37,37
19:40:13      10   57,84    0,00    0,98    0,00    0,98    0,00    0,00    0,00    0,00   40,20
19:40:13      11   59,00    0,00    1,00    0,00    1,00    0,00    0,00    0,00    0,00   39,00

19:40:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19:40:14     all   61,20    0,00    1,17    0,00    0,58    0,25    0,00    0,00    0,00   36,80
19:40:14       0   50,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00   49,00
19:40:14       1   63,64    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   36,36
19:40:14       2   53,47    0,00    0,99    0,00    0,99    0,00    0,00    0,00    0,00   44,55
19:40:14       3   65,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   34,00
19:40:14       4   57,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00   42,00
19:40:14       5   65,35    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00   33,66
19:40:14       6   71,00    0,00   13,00    0,00    0,00    0,00    0,00    0,00    0,00   16,00
19:40:14       7   62,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00   37,00
19:40:14       8   61,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00   38,00
19:40:14       9   63,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   37,00
19:40:14      10   59,60    0,00    0,00    0,00    0,00    1,01    0,00    0,00    0,00   39,39
19:40:14      11   63,37    0,00    0,00    0,00    0,99    0,99    0,00    0,00    0,00   34,65
