Linux 6.14.8-200.fc41.x86_64 (fedora) 	07.12.2025 	_x86_64_	(12 CPU)

14:06:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:46     all   19,20    0,00    1,25    0,00    0,00    0,25    0,00    0,00    0,00   79,30
14:06:46       0   71,72    0,00    8,08    0,00    0,00    1,01    0,00    0,00    0,00   19,19
14:06:46       2   79,80    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   20,20
14:06:46       4    2,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   97,00
14:06:46       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:46       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:46       9    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
14:06:46      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:46      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:06:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:47     all   19,73    0,00    0,87    0,00    0,25    0,00    0,00    0,00    0,00   79,15
14:06:47       0   95,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
14:06:47       2   62,38    0,00    0,99    0,00    0,99    0,00    0,00    0,00    0,00   35,64
14:06:47       4    0,00    0,00    0,99    0,00    0,99    0,00    0,00    0,00    0,00   98,02
14:06:47       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:47       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:47       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:47      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:47      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:06:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:48     all   18,67    0,00    1,63    0,25    0,13    0,13    0,00    0,00    0,00   79,20
14:06:48       0   62,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00   37,00
14:06:48       2   87,88    0,00   12,12    0,00    0,00    0,00    0,00    0,00    0,00    0,00
14:06:48       4    0,00    0,00    0,00    0,00    0,00    1,01    0,00    0,00    0,00   98,99
14:06:48       6    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:48       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:48       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:48      10    0,00    0,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00   98,00
14:06:48      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:06:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:49     all   20,53    0,00    0,25    0,13    0,00    0,13    0,00    0,00    0,00   78,97
14:06:49       0   60,61    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   39,39
14:06:49       2  100,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
14:06:49       4    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
14:06:49       6    1,00    0,00    0,00    0,00    0,00    1,00    0,00    0,00    0,00   98,00
14:06:49       8    0,98    0,00    0,98    0,98    0,00    0,00    0,00    0,00    0,00   97,06
14:06:49       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:49      10    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:49      11    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
