Linux 6.14.8-200.fc41.x86_64 (fedora) 	07.12.2025 	_x86_64_	(12 CPU)

14:06:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:18     all    8,08    0,00    1,33    0,00    0,08    0,17    0,00    0,00    0,00   90,33
14:06:18       0    0,00    0,00    0,00    0,00    0,00    1,02    0,00    0,00    0,00   98,98
14:06:18       1    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:18       2   90,00    0,00    5,00    0,00    0,00    0,00    0,00    0,00    0,00    5,00
14:06:18       3    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:18       4    1,98    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   96,04
14:06:18       5    0,00    0,00    0,99    0,00    0,99    0,99    0,00    0,00    0,00   97,03
14:06:18       6    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
14:06:18       7    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
14:06:18       8    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
14:06:18       9    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
14:06:18      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:18      11    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

14:06:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:19     all    7,81    0,00    0,50    0,00    0,25    0,00    0,00    0,00    0,00   91,44
14:06:19       0    0,00    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00   99,01
14:06:19       1    0,00    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00   99,01
14:06:19       2   94,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
14:06:19       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19       8    0,00    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00   99,01
14:06:19       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:19      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:06:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:20     all    7,60    0,00    0,75    0,00    0,00    0,00    0,00    0,00    0,00   91,65
14:06:20       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20       2   15,15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   84,85
14:06:20       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20       4   70,71    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00   23,23
14:06:20       5    5,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
14:06:20       6    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14:06:20       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:20      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

14:06:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:21     all    8,08    0,00    0,33    0,00    0,00    0,00    0,00    0,00    0,00   91,58
14:06:21       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:21       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:21       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:21       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14:06:21       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
