Linux 6.17.9-arch1-1 (arch) 	12/07/25 	_x86_64_	(16 CPU)

17:22:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:08     all   51.69    0.00    1.25    0.00    1.12    0.00    0.00    0.00    0.00   45.94
17:22:08       0   66.00    0.00    1.00    0.00    2.00    0.00    0.00    0.00    0.00   31.00
17:22:08       2   58.42    0.00    0.99    0.00    1.98    0.00    0.00    0.00    0.00   38.61
17:22:08       4   71.43    0.00    0.00    0.00    1.02    0.00    0.00    0.00    0.00   27.55
17:22:08       6   54.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   45.00
17:22:08       8   89.00    0.00    5.00    0.00    2.00    0.00    0.00    0.00    0.00    4.00
17:22:08      10   76.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   22.00
17:22:08      12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
17:22:08      14    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

17:22:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:09     all   58.45    0.00    0.25    0.00    1.00    0.00    0.00    0.00    0.00   40.30
17:22:09       0   76.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   23.00
17:22:09       2   69.70    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   29.29
17:22:09       4   80.20    0.00    0.00    0.00    1.98    0.00    0.00    0.00    0.00   17.82
17:22:09       6   57.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   42.00
17:22:09       8   97.98    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00
17:22:09      10   85.15    0.00    0.00    0.00    1.98    0.00    0.00    0.00    0.00   12.87
17:22:09      12    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:09      14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99

17:22:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:10     all   41.38    0.00    1.25    0.12    0.50    0.12    0.00    0.00    0.00   56.62
17:22:10       0   51.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   48.00
17:22:10       2   34.65    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   63.37
17:22:10       4   61.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.38
17:22:10       6   18.81    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   79.21
17:22:10       8   93.00    0.00    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:10      10   71.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   28.00
17:22:10      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:10      14    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97

17:22:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:22:11     all   73.47    0.00    0.38    0.25    1.50    0.00    0.00    0.00    0.00   24.41
17:22:11       0   98.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:11       2   98.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:11       4   97.98    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00
17:22:11       6   98.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:11       8   98.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:11      10   98.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00
17:22:11      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:22:11      14    0.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   56.24    0.00    0.78    0.09    1.03    0.03    0.00    0.00    0.00   41.83
Average:       0   72.75    0.00    0.25    0.00    1.50    0.00    0.00    0.00    0.00   25.50
Average:       2   65.09    0.00    0.75    0.00    1.25    0.00    0.00    0.00    0.00   32.92
Average:       4   77.83    0.00    0.00    0.00    1.26    0.00    0.00    0.00    0.00   20.91
Average:       6   56.86    0.00    0.25    0.00    1.00    0.25    0.00    0.00    0.00   41.65
Average:       8   94.49    0.00    2.76    0.00    1.75    0.00    0.00    0.00    0.00    1.00
Average:      10   82.54    0.00    0.25    0.00    1.50    0.00    0.00    0.00    0.00   15.71
Average:      12    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      14    0.25    0.00    1.25    0.75    0.00    0.00    0.00    0.00    0.00   97.74
