Linux 6.17.9-arch1-1 (arch) 	12/07/25 	_x86_64_	(16 CPU)

17:21:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:21:39     all   48.65    0.00    0.75    0.06    1.38    0.00    0.00    0.00    0.00   49.15
17:21:39       0   64.65    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   33.33
17:21:39       1   64.00    0.00    2.00    0.00    2.00    0.00    0.00    0.00    0.00   32.00
17:21:39       2   66.67    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   31.31
17:21:39       3   61.62    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   36.36
17:21:39       4   60.61    0.00    0.00    1.01    2.02    0.00    0.00    0.00    0.00   36.36
17:21:39       5   63.64    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   34.34
17:21:39       6   64.65    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   33.33
17:21:39       7   60.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   38.00
17:21:39       8   68.00    0.00    3.00    0.00    2.00    0.00    0.00    0.00    0.00   27.00
17:21:39       9   73.74    0.00    3.03    0.00    2.02    0.00    0.00    0.00    0.00   21.21
17:21:39      10   64.65    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   33.33
17:21:39      11   66.67    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   31.31
17:21:39      12    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
17:21:39      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:21:39      14    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:21:39      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:21:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:21:40     all   61.25    0.00    0.69    0.00    1.88    0.12    0.00    0.00    0.00   36.06
17:21:40       0   81.82    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   16.16
17:21:40       1   84.00    0.00    1.00    0.00    2.00    0.00    0.00    0.00    0.00   13.00
17:21:40       2   83.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00   14.00
17:21:40       3   84.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00   13.00
17:21:40       4   81.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00   16.00
17:21:40       5   81.82    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00   16.16
17:21:40       6   76.24    0.00    0.99    0.00    1.98    0.00    0.00    0.00    0.00   20.79
17:21:40       7   83.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   15.00
17:21:40       8   84.16    0.00    0.00    0.00    2.97    0.00    0.00    0.00    0.00   12.87
17:21:40       9   80.20    0.00    1.98    0.00    2.97    0.00    0.00    0.00    0.00   14.85
17:21:40      10   85.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00   12.00
17:21:40      11   74.00    0.00    1.00    0.00    2.00    0.00    0.00    0.00    0.00   23.00
17:21:40      12    0.00    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   97.98
17:21:40      13    0.99    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   97.03
17:21:40      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
17:21:40      15    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97

17:21:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:21:41     all   49.84    0.00    0.69    0.06    0.94    0.13    0.00    0.00    0.00   48.34
17:21:41       0   67.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   31.00
17:21:41       1   68.63    0.00    0.00    0.00    1.96    0.98    0.00    0.00    0.00   28.43
17:21:41       2   69.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   30.00
17:21:41       3   63.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   36.00
17:21:41       4   69.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   30.00
17:21:41       5   61.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   38.00
17:21:41       6   56.57    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   42.42
17:21:41       7   66.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00   32.00
