Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:07:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:03     all   18.95    0.00    0.75    0.13    0.25    0.13    0.00    0.00    0.00   79.80
11:07:03       0    2.97    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   96.04
11:07:03       2    0.00    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
11:07:03       4    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:07:03       6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:07:03       8   20.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
11:07:03      10   16.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   84.00
11:07:03      12   58.59    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   38.38
11:07:03      14   49.49    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   46.46

11:07:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:04     all   22.15    0.00    0.38    0.13    0.38    0.00    0.00    0.00    0.00   76.97
11:07:04       0    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:07:04       2    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:07:04       4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:07:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:07:04       8   25.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.49
11:07:04      10   25.00    0.00    1.00    1.00    1.00    0.00    0.00    0.00    0.00   72.00
11:07:04      12   37.62    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   61.39
11:07:04      14   84.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   13.00

11:07:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:07:05     all   33.96    0.00    0.25    0.00    0.63    0.00    0.00    0.00    0.00   65.16
11:07:05       0    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:07:05       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:07:05       4    2.97    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   96.04
11:07:05       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:07:05       8   56.44    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   41.58
11:07:05      10   54.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   45.00
11:07:05      12   59.18    0.00    0.00    0.00    1.02    0.00    0.00    0.00    0.00   39.80
11:07:05      14   95.96    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    3.03


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   25.02    0.00    0.46    0.08    0.42    0.04    0.00    0.00    0.00   73.98
Average:       0    3.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00    0.00   96.67
Average:       2    0.67    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   98.66
Average:       4    2.66    0.00    0.33    0.00    0.33    0.00    0.00    0.00    0.00   96.68
Average:       6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:       8   34.11    0.00    0.33    0.00    0.33    0.00    0.00    0.00    0.00   65.22
Average:      10   31.67    0.00    0.33    0.33    0.67    0.00    0.00    0.00    0.00   67.00
Average:      12   51.68    0.00    0.67    0.00    1.01    0.00    0.00    0.00    0.00   46.64
Average:      14   76.51    0.00    1.68    0.00    1.01    0.00    0.00    0.00    0.00   20.81
