Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:06:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:06:35     all    9.45    0.00    0.19    0.19    0.19    0.00    0.00    0.00    0.00   89.99
11:06:35       0    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
11:06:35       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35       2    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
11:06:35       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35       4    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:06:35       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35       6    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:06:35       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35       8   14.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   85.00
11:06:35       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35      10   19.39    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   79.59
11:06:35      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35      12   83.84    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   14.14
11:06:35      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:35      14   24.00    0.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00   72.00
11:06:35      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:06:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:06:36     all   11.19    0.00    0.19    0.00    0.13    0.06    0.00    0.00    0.00   88.43
11:06:36       0    5.94    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   93.07
11:06:36       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36       2    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
11:06:36       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36       4   12.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   87.00
11:06:36       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36       6    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:06:36       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36       8   21.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.79
11:06:36       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36      10   15.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
11:06:36      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36      12   94.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00    2.00
11:06:36      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:36      14   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
11:06:36      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:06:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:06:37     all   17.30    0.00    0.00    0.00    0.31    0.00    0.00    0.00    0.00   82.39
11:06:37       0    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:06:37       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37       2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:06:37       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37       4    5.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:06:37       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37       8   56.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   43.00
11:06:37       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37      10   41.58    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   57.43
11:06:37      11   17.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
11:06:37      12   95.05    0.00    0.00    0.00    1.98    0.00    0.00    0.00    0.00    2.97
11:06:37      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:06:37      14   58.59    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   40.40
11:06:37      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   12.65    0.00    0.13    0.06    0.21    0.02    0.00    0.00    0.00   86.93
Average:       0    4.65    0.00    0.00    0.00    0.00    0.33    0.00    0.00    0.00   95.02
Average:       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       2    2.99    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.68
Average:       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       4    6.33    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00   93.33
