Linux 6.17.9-arch1-1 (arch) 	11/30/25 	_x86_64_	(16 CPU)

11:51:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:00     all   12.23    0.00    0.62    0.00    0.12    0.12    0.00    0.00    0.00   86.89
11:52:00       0    0.98    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   97.06
11:52:00       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:00       4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:52:00       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:00       8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:52:00      10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:52:00      12    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:52:00      14   94.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00    3.00

11:52:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:01     all   12.83    0.00    0.63    0.25    0.13    0.00    0.00    0.00    0.00   86.16
11:52:01       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:01       2    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:52:01       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:01       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:01       8    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:52:01      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:52:01      12    2.97    0.00    1.98    1.98    0.00    0.00    0.00    0.00    0.00   93.07
11:52:01      14   96.97    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00


Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   12.53    0.00    0.63    0.13    0.13    0.06    0.00    0.00    0.00   86.53
Average:       0    0.50    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   98.50
Average:       2    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       4    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       8    1.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:      10    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
Average:      12    2.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
Average:      14   95.48    0.00    2.01    0.00    1.01    0.00    0.00    0.00    0.00    1.51
