Linux 6.14.8-200.fc41.x86_64 (fedora) 	30.11.2025 	_x86_64_	(12 CPU)

14:06:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:06     all   15,44    0,00    2,60    0,00    0,59    0,50    0,00    0,00    0,00   80,87
14:06:06       0   15,15    0,00    4,04    0,00    1,01    2,02    0,00    0,00    0,00   77,78
14:06:06       1    9,00    0,00    0,00    0,00    1,00    1,00    0,00    0,00    0,00   89,00
14:06:06       2   13,27    0,00    4,08    0,00    0,00    1,02    0,00    0,00    0,00   81,63
14:06:06       3   27,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   69,00
14:06:06       4   25,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   71,00
14:06:06       5    7,92    0,00    0,99    0,00    0,99    0,00    0,00    0,00    0,00   90,10
14:06:06       6   17,35    0,00    2,04    0,00    0,00    1,02    0,00    0,00    0,00   79,59
14:06:06       7   29,00    0,00    3,00    0,00    1,00    0,00    0,00    0,00    0,00   67,00
14:06:06       8   12,00    0,00    3,00    0,00    1,00    0,00    0,00    0,00    0,00   84,00
14:06:06       9    9,09    0,00    2,02    0,00    1,01    1,01    0,00    0,00    0,00   86,87
14:06:06      10   11,11    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   86,87
14:06:06      11    9,18    0,00    2,04    0,00    1,02    0,00    0,00    0,00    0,00   87,76

14:06:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:07     all   12,61    0,00    1,43    0,00    0,42    0,17    0,00    0,00    0,00   85,38
14:06:07       0   12,24    0,00    0,00    0,00    1,02    1,02    0,00    0,00    0,00   85,71
14:06:07       1    9,09    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   89,90
14:06:07       2    6,00    0,00    1,00    0,00    1,00    0,00    0,00    0,00    0,00   92,00
14:06:07       3    3,06    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,94
14:06:07       4    4,08    0,00    0,00    0,00    1,02    1,02    0,00    0,00    0,00   93,88
14:06:07       5   17,35    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   82,65
14:06:07       6   20,79    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00   78,22
14:06:07       7   58,00    0,00    9,00    0,00    0,00    0,00    0,00    0,00    0,00   33,00
14:06:07       8    6,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
14:06:07       9    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
14:06:07      10    4,04    0,00    1,01    0,00    1,01    0,00    0,00    0,00    0,00   93,94
14:06:07      11    6,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00

14:06:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:08     all   14,26    0,00    1,01    0,25    0,17    0,34    0,00    0,00    0,00   83,98
14:06:08       0    2,00    0,00    1,00    2,00    1,00    1,00    0,00    0,00    0,00   93,00
14:06:08       1   30,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   68,00
14:06:08       2    8,16    0,00    2,04    1,02    0,00    0,00    0,00    0,00    0,00   88,78
14:06:08       3    3,96    0,00    0,99    0,00    0,00    0,99    0,00    0,00    0,00   94,06
14:06:08       4   24,74    0,00    1,03    0,00    0,00    0,00    0,00    0,00    0,00   74,23
14:06:08       5   10,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
14:06:08       6   24,49    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   74,49
14:06:08       7   48,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   52,00
14:06:08       8    5,00    0,00    1,00    0,00    1,00    1,00    0,00    0,00    0,00   92,00
14:06:08       9    6,06    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   92,93
14:06:08      10    5,05    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   93,94
14:06:08      11    4,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   94,00
