Linux 6.14.8-200.fc41.x86_64 (fedora) 	30.11.2025 	_x86_64_	(12 CPU)

14:06:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:39     all   36,74    0,00    4,67    0,00    0,76    0,38    0,00    0,00    0,00   57,45
14:06:39       0   35,05    0,00    4,12    0,00    1,03    0,00    0,00    0,00    0,00   59,79
14:06:39       2   76,77    0,00   10,10    0,00    1,01    0,00    0,00    0,00    0,00   12,12
14:06:39       4   38,00    0,00    4,00    0,00    1,00    1,00    0,00    0,00    0,00   56,00
14:06:39       6   34,69    0,00    4,08    0,00    0,00    1,02    0,00    0,00    0,00   60,20
14:06:39       8   28,00    0,00    5,00    0,00    1,00    0,00    0,00    0,00    0,00   66,00
14:06:39       9   26,00    0,00    4,00    0,00    1,00    1,00    0,00    0,00    0,00   68,00
14:06:39      10   28,28    0,00    3,03    0,00    1,01    0,00    0,00    0,00    0,00   67,68
14:06:39      11   27,27    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   69,70

14:06:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:40     all   41,90    0,00    2,28    0,00    0,38    0,13    0,00    0,00    0,00   55,32
14:06:40       0   36,36    0,00    2,02    0,00    1,01    1,01    0,00    0,00    0,00   59,60
14:06:40       2   77,78    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   21,21
14:06:40       4   37,37    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   61,62
14:06:40       6   52,00    0,00    8,00    0,00    1,00    0,00    0,00    0,00    0,00   39,00
14:06:40       8   33,67    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   65,31
14:06:40       9   31,63    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   66,33
14:06:40      10   35,71    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   63,27
14:06:40      11   30,30    0,00    2,02    0,00    1,01    0,00    0,00    0,00    0,00   66,67

14:06:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:41     all   39,83    0,00    1,75    0,00    0,75    0,62    0,00    0,00    0,00   57,05
14:06:41       0   37,00    0,00    2,00    0,00    1,00    1,00    0,00    0,00    0,00   59,00
14:06:41       2   36,36    0,00    3,03    0,00    1,01    0,00    0,00    0,00    0,00   59,60
14:06:41       4   37,37    0,00    1,01    0,00    1,01    1,01    0,00    0,00    0,00   59,60
14:06:41       6   96,97    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    3,03
14:06:41       8   28,43    0,00    2,94    0,00    0,98    0,98    0,00    0,00    0,00   66,67
14:06:41       9   23,76    0,00    1,98    0,00    0,99    0,00    0,00    0,00    0,00   73,27
14:06:41      10   25,74    0,00    1,98    0,00    0,99    0,99    0,00    0,00    0,00   70,30
14:06:41      11   34,00    0,00    1,00    0,00    0,00    1,00    0,00    0,00    0,00   64,00
