Linux 6.14.8-200.fc41.x86_64 (fedora) 	30.11.2025 	_x86_64_	(12 CPU)

14:06:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:26     all   39,52    0,00    2,65    0,00    0,38    0,13    0,00    0,00    0,00   57,32
14:06:26       0   32,32    0,00    3,03    0,00    1,01    1,01    0,00    0,00    0,00   62,63
14:06:26       2   90,91    0,00    6,06    0,00    0,00    0,00    0,00    0,00    0,00    3,03
14:06:26       4   32,99    0,00    2,06    0,00    0,00    0,00    0,00    0,00    0,00   64,95
14:06:26       6   37,37    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   60,61
14:06:26       8   31,31    0,00    2,02    0,00    1,01    0,00    0,00    0,00    0,00   65,66
14:06:26       9   30,69    0,00    1,98    0,00    0,00    0,00    0,00    0,00    0,00   67,33
14:06:26      10   32,32    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   65,66
14:06:26      11   28,28    0,00    2,02    0,00    1,01    0,00    0,00    0,00    0,00   68,69

14:06:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:27     all   35,90    0,00    1,64    0,00    0,25    0,25    0,00    0,00    0,00   61,95
14:06:27       0   27,27    0,00    2,02    0,00    1,01    1,01    0,00    0,00    0,00   68,69
14:06:27       2   94,00    0,00    5,00    0,00    0,00    1,00    0,00    0,00    0,00    0,00
14:06:27       4   29,29    0,00    1,01    0,00    1,01    0,00    0,00    0,00    0,00   68,69
14:06:27       6   28,57    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   70,41
14:06:27       8   28,57    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   70,41
14:06:27       9   26,26    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   72,73
14:06:27      10   26,26    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   72,73
14:06:27      11   26,26    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   72,73

14:06:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:06:28     all   33,08    0,00    1,64    0,00    0,63    0,38    0,00    0,00    0,00   64,28
14:06:28       0   23,23    0,00    1,01    0,00    1,01    1,01    0,00    0,00    0,00   73,74
14:06:28       2   94,00    0,00    6,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00
14:06:28       4   24,49    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   74,49
14:06:28       6   26,26    0,00    1,01    0,00    1,01    0,00    0,00    0,00    0,00   71,72
14:06:28       8   24,00    0,00    1,00    0,00    1,00    1,00    0,00    0,00    0,00   73,00
14:06:28       9   25,00    0,00    1,00    0,00    1,00    0,00    0,00    0,00    0,00   73,00
14:06:28      10   23,00    0,00    1,00    0,00    1,00    1,00    0,00    0,00    0,00   74,00
14:06:28      11   24,24    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   74,75
